,Unnamed: 0,Nombre,Nacimiento,PaÃ­s,year,month,day,trimestre
771,771,"Jumabayev, Rinat",1989-07-23,Kazakhstan,1989,7,23,3
772,772,"JurÄÃ­k, MariÃ¡n",1987-01-27,Slovakia,1987,1,27,1
773,773,"Jussupow, Artur",1960-02-13,Soviet Union,1960,2,13,1
774,774,"Kabanov, Nikolai",1980-01-22,Russia,1980,1,22,1
775,775,"Kacheishvili, Giorgi",1977-02-10,Georgia,1977,2,10,1
776,776,"KadriÄ, Denis",1995-06-12,Bosnia and Herzegovina,1995,6,12,2
777,777,"Kaidanov, Gregory",1959-10-11,Soviet Union,1959,10,11,4
778,778,"Kalinin, Alexander",1968-05-26,Russia,1968,5,26,2
779,779,"Kalinitschew, Sergey",1956-02-03,Germany,1956,2,3,1
780,780,"KÃ¡llai, GÃ¡bor",1959-02-21,Hungary,1959,2,21,1
781,781,"Kallio, Heikki",1980-10-15,Finland,1980,10,15,4
782,782,"Kalod, Radek",1978-08-08,Czech Republic,1978,8,8,3
783,783,"Kalugin, Sergey G.",1970-10-03,Russia,1970,10,3,4
784,784,"KamiÅski, Marcin",1977-03-10,Poland,1977,3,10,1
786,786,Kannappan Priyadharshan,1993-12-01,India,1993,12,1,4
787,787,"Kanarek, Marcel",1993-02-05,Poland,1993,2,5,1
788,788,"Kanep, Meelis",1983-05-27,Estonia,1983,5,27,2
789,789,"KantÄns, Toms",1994-01-16,Latvia,1994,1,16,1
790,790,"Kantor, Gergely",1999-07-19,Hungary,1999,7,19,3
791,791,"Kantsler, Boris",1962-04-16,Israel,1962,4,16,2
792,792,"Kapnisis, Spyridon",1981-05-11,Greece,1981,5,11,2
793,793,"Karjakin, Sergey",1990-01-12,Ukraine,1990,1,12,1
794,794,"Karlsson, Lars",1955-07-11,Sweden,1955,7,11,3
795,795,"Karpatchev, Aleksandr",1967-05-25,Russia,1967,5,25,2
796,796,"Karpov, Anatoly",1951-05-23,Soviet Union,1951,5,23,2
797,797,Karthik Venkataraman,1999-12-22,India,1999,12,22,4
798,798,Karthikeyan Murali,1999-01-05,India,1999,1,5,1
799,799,Karthikeyan P.,1990-06-14,India,1990,6,14,2
801,801,"Kasimdzhanov, Rustam",1979-12-05,Uzbekistan,1979,12,5,4
802,802,"Kasparov, Garry",1963-04-13,Soviet Union,1963,4,13,2
803,803,"Kasparov, Sergey",1968-08-08,Belarus,1968,8,8,3
806,806,"Kayumov, Dmitry D.",1949-02-28,Uzbekistan,1949,2,28,1
807,807,"Kayumov, Sergey",1981-08-08,Uzbekistan,1981,8,8,3
808,808,"Kazakov, Mikhail",1972-05-28,Ukraine,1972,5,28,2
809,809,"Kazhgaleyev, Murtas",1973-11-17,Kazakhstan,1973,11,17,4
811,811,"Keitlinghaus, Ludger",1965-07-24,Germany,1965,7,24,3
812,812,"Kekelidze, Mikheil",1974-09-14,Georgia,1974,9,14,3
813,813,"Kelires, Andreas",1999-07-01,Greece,1999,7,1,3
814,814,"Kevlishvili, Robby",2001-04-15,Netherlands,2001,4,15,2
815,815,"Keymer, Vincent",2004-11-15,Germany,2004,11,15,4
816,816,"KempiÅski, Robert",1977-07-11,Poland,1977,7,11,3
817,817,"Ä¶eÅÄ£is, EdvÄ«ns",1959-04-12,Latvia,1959,4,12,2
818,818,"Keres, Paul",1916-01-07,Soviet Union,1916,1,7,1
820,820,"Khairullin, Ildar",1990-08-22,Russia,1990,8,22,3
821,821,"Khalifman, Alexander",1966-01-18,Russia,1966,1,18,1
822,822,"Khamrakulov, Djurabek",1988-07-12,Uzbekistan,1988,7,12,3
823,823,"Khamrakulov, Ibragim S.",1982-07-28,Spain,1982,7,28,3
824,824,"Kharchenko, Boris",1991-07-15,Ukraine,1991,7,15,3
825,825,"Kharitonov, Alexandr",1986-11-08,Russia,1986,11,8,4
826,826,"Kharitonov, Andrei",1959-04-04,Russia,1959,4,4,2
827,827,"Kharlov, Andrei",1968-11-20,Russia,1968,11,20,4
828,828,"Khasin, Alexander",1951-04-29,Russia,1951,4,29,2
829,829,"Khatanbaatar, Bazar",1973-02-25,Mongolia,1973,2,25,1
830,830,"Khegay, Dmitriy",1997-07-21,Russia,1997,7,21,3
831,831,"Khenkin, Igor",1968-03-21,Russia,1968,3,21,1
832,832,"Khismatullin, Denis",1984-12-28,Russia,1984,12,28,4
833,833,"Khmelniker, Ilya",1985-09-21,Israel,1985,9,21,3
834,834,"Kholmov, Ratmir",1925-05-13,Soviet Union,1925,5,13,2
835,835,"Khotenashvili, Bela",1988-06-01,Georgia,1988,6,1,2
836,836,"Khruschiov, Alexey",1982-03-12,Moldova,1982,3,12,1
837,837,"Khusnutdinov, Rustam",1987-07-11,Kazakhstan,1987,7,11,3
838,838,"Kim, Alexey",1986-04-05,Russia,1986,4,5,2
839,839,"Kindermann, Stefan",1959-12-28,West Germany,1959,12,28,4
841,841,"Kiriakov, Petr",1975-01-11,Russia,1975,1,11,1
842,842,"Kirov, Nino",1945-09-09,Bulgaria,1945,9,9,3
843,843,"Kiselev, Vitaliy",1988-06-16,Russia,1988,6,16,2
844,844,"Kishnev, Sergey",1956-11-01,Russia,1956,11,1,4
845,845,"Kislinsky, Alexey",1984-06-10,Ukraine,1984,6,10,2
846,846,"Kjartansson, Gudmundur",1988-03-06,Iceland,1988,3,6,1
847,847,"KlariÄ, Zlatko",1956-10-24,Yugoslavia,1956,10,24,4
848,848,"Klein, David",1993-12-20,Netherlands,1993,12,20,4
849,849,"Klekowski, Maciej",1992-09-05,Poland,1992,9,5,3
850,850,"Klimov, Sergey",1979-01-22,Russia,1979,1,22,1
851,851,"Klinger, Josef",1967-06-06,Austria,1967,6,6,2
852,852,"KlovÄns, JÄnis",1935-04-09,Latvia,1935,4,9,2
853,853,"Knaak, Rainer",1953-03-16,East Germany,1953,3,16,1
854,854,"KneÅ¾eviÄ, Milorad",1936-10-31,Yugoslavia,1936,10,31,4
855,855,"Kobalia, Mikhail",1978-05-03,Russia,1978,5,3,2
856,856,"Kobo, Ori",1997-04-24,Israel,1997,4,24,2
857,857,"Kochyev, Alexander",1956-03-25,Soviet Union,1956,3,25,1
858,858,"Kogan, Arthur",1974-01-29,Israel,1974,1,29,1
859,859,"Kokarev, Dmitry",1982-02-18,Russia,1982,2,18,1
860,860,"Kolev, Atanas",1967-07-15,Bulgaria,1967,7,15,3
861,861,"Kollars, Dmitrij",1999-08-13,Germany,1999,8,13,3
862,862,"Koltanowski, George",1903-09-17,Belgium,1903,9,17,3
863,863,"Komarov, Dimitri",1968-12-01,Ukraine,1968,12,1,4
864,864,"Komliakov, Viktor",1960-04-25,Moldova,1960,4,25,2
865,865,"KomljenoviÄ, Davorin",1944-07-01,Croatia,1944,7,1,3
866,866,"Koneru, Humpy",1987-03-31,India,1987,3,31,1
867,867,"Koniushkov, Igor",1962-11-29,Russia,1962,11,29,4
868,868,"Kononenko, Dmitry",1988-08-23,Ukraine,1988,8,23,3
869,869,"Konovalov, Nikolay",1989-08-07,Russia,1989,8,7,3
870,870,"KonstanÂ­tinopolsky, Alexander",1910-02-19,Soviet Union,1910,2,19,1
871,871,"Korchnoi, Viktor",1931-03-23,Soviet Union,1931,3,23,1
872,872,"Korneev, Oleg",1969-07-25,Russia,1969,7,25,3
873,873,"Kornev, Alexei",1976-12-20,Russia,1976,12,20,4
874,874,"Korobov, Anton",1985-06-25,Ukraine,1985,6,25,2
875,875,"Korotylev, Alexey",1977-03-01,Russia,1977,3,1,1
876,876,"Korpa, Bence",1998-01-12,Hungary,1998,1,12,1
877,877,"KosanoviÄ, Goran A.",1962-03-16,Yugoslavia (S&M),1962,3,16,1
878,878,"Kosashvili, Yona",1970-07-03,Israel,1970,7,3,3
879,879,"KosiÄ, Dragan",1970-02-15,Yugoslavia (S&M),1970,2,15,1
880,880,"Kosintseva, Nadezhda",1985-01-14,Russia,1985,1,14,1
881,881,"Kosintseva, Tatiana",1986-04-11,Russia,1986,4,11,2
883,883,"Kosteniuk, Alexandra",1984-04-23,Russia,1984,4,23,2
884,884,"Kostenko, Petr",1976-02-16,Kazakhstan,1976,2,16,1
885,885,"KostiÄ, Boris",1887-02-24,Yugoslavia,1887,2,24,1
886,886,"KostiÄ, Vladimir G.",1953-08-20,Serbia and Montenegro,1953,8,20,3
887,887,"Kosyrev, Vladimir",1980-11-07,Russia,1980,11,7,4
888,888,"Kotanjian, Tigran",1981-09-01,Armenia,1981,9,1,3
889,889,"Kotov, Alexander",1913-08-12,Soviet Union,1913,8,12,3
890,890,"Kotronias, Vasilios",1964-08-25,Greece,1964,8,25,3
891,891,"Kotsur, Pavel",1974-01-03,Kazakhstan,1974,1,3,1
892,892,"Kouatly, Bachar",1958-03-03,France,1958,3,3,1
893,893,"KovaÄeviÄ, Aleksandar",1974-02-11,Yugoslavia (S&M),1974,2,11,1
894,894,"KovaÄeviÄ, BlaÅ¾imir",1975-10-16,Croatia,1975,10,16,4
895,895,"KovaÄeviÄ, Vlatko",1942-03-26,Yugoslavia,1942,3,26,1
896,896,"Kovalenko, Igor",1988-12-29,Ukraine,1988,12,29,4
897,897,"Kovalev, Andrei",1961-11-07,Belarus,1961,11,7,4
898,898,"Kovalev, Vladislav",1994-01-06,Belarus,1994,1,6,1
899,899,"Kovalyov, Anton",1992-03-04,Belarus,1992,3,4,1
900,900,"Kovchan, Alexander",1983-10-21,Ukraine,1983,10,21,4
901,901,"KozÃ¡k, ÃdÃ¡m",2002-06-15,Hungary,2002,6,15,2
902,902,"KoÅ¾ul, Zdenko",1966-05-21,Yugoslavia,1966,5,21,2
904,904,"Kraidman, Yair",1932-11-01,Israel,1932,11,1,4
905,905,"Krakops, MÄris",1978-04-03,Latvia,1978,4,3,2
906,906,"KrÃ¤mer, Martin",1987-12-23,Germany,1987,12,23,4
907,907,"Kramnik, Vladimir",1975-06-25,Russia,1975,6,25,2
908,908,"Krapivin, Alexander",1987-07-23,Russia,1987,7,23,3
909,909,"Krasenkow, MichaÅ",1963-11-14,Soviet Union,1963,11,14,4
910,910,"Kravtsiv, Martyn",1990-11-26,Ukraine,1990,11,26,4
912,912,"KrejÄÃ­, JÃ¡n",1992-09-27,Czech Republic,1992,9,27,3
913,913,"Kristiansen, Jens",1952-05-25,Denmark,1952,5,25,2
914,914,"KristjÃ¡nsson, StefÃ¡n",1982-12-08,Iceland,1982,12,8,4
915,915,"Kritz, Leonid",1984-02-26,Germany,1984,2,26,1
916,916,"Krivoborodov, Egor",1989-12-24,Russia,1989,12,24,4
917,917,"Krivoshey, Sergei",1971-05-23,Ukraine,1971,5,23,2
918,918,"Krogius, Nikolai V.",1930-07-22,Soviet Union,1930,7,22,3
919,919,"Kruppa, Yuri",1964-06-21,Ukraine,1964,6,21,2
921,921,"Kryakvin, Dmitry",1984-04-10,Russia,1984,4,10,2
922,922,"Krylov, Mikhail",1987-06-14,Russia,1987,6,14,2
923,923,"Krysa, Leandro",1992-11-07,Argentina,1992,11,7,4
924,924,"Kryvoruchko, Yuriy",1986-12-19,Ukraine,1986,12,19,4
925,925,"KrzyÅ¼anowski, Marcin",1994-01-11,Poland,1994,1,11,1
926,926,"KuczyÅski, Robert",1966-04-17,Poland,1966,4,17,2
928,928,"Kulaots, Kaido",1976-02-28,Estonia,1976,2,28,1
929,929,"Kuligowski, Adam",1955-12-24,Poland,1955,12,24,4
930,930,"KuljaÅ¡eviÄ, Davorin",1986-10-22,Croatia,1986,10,22,4
932,932,"Kunin, Vitaly",1983-10-02,Germany,1983,10,2,4
933,933,"Kunte, Abhijit",1977-03-03,India,1977,3,3,1
934,934,"Kupreichik, Viktor",1949-07-03,Soviet Union,1949,7,3,3
935,935,"Kurajica, Bojan",1947-11-15,Yugoslavia,1947,11,15,4
936,936,"Kurnosov, Igor",1985-05-30,Russia,1985,5,30,2
937,937,"Kutirov, Rolando",1962-01-23,North Macedonia,1962,1,23,1
938,938,"Kuybokarov, Temur",2000-07-22,Australia,2000,7,22,3
939,939,"Kuzmin, Alexey",1963-03-08,Russia,1963,3,8,1
940,940,"Kuzmin, Gennady",1946-01-19,Ukraine,1946,1,19,1
941,941,"Kuzubov, Yuriy",1990-01-26,Ukraine,1990,1,26,1
942,942,"Kveinys, Aloyzas",1962-07-09,Lithuania,1962,7,9,3
943,943,"Kvon, Andrey",1989-04-16,Uzbekistan,1989,4,16,2
944,944,"Ladva, Ottomar",1997-06-17,Estonia,1997,6,17,2
945,945,"Lafuente, Pablo",1985-02-20,Argentina,1985,2,20,1
946,946,"Lagarde, Maxime",1994-03-16,France,1994,3,16,1
947,947,"Lagno, Kateryna",1989-12-27,Ukraine,1989,12,27,4
948,948,"Lajthajm, Borko",1976-04-16,Serbia,1976,4,16,2
949,949,"LaliÄ, Bogdan",1964-03-08,Yugoslavia,1964,3,8,1
950,950,"Lalith Babu, M. R.",1993-01-05,India,1993,1,5,1
951,951,"L'Ami, Erwin",1985-04-05,Netherlands,1985,4,5,2
952,952,"Lampert, Jonas",1997-08-27,Germany,1997,8,27,3
953,953,"Landa, Konstantin",1972-05-22,Russia,1972,5,22,2
954,954,"Lanka, Zigurds",1960-05-21,Latvia,1960,5,21,2
955,955,"LariÃ±o Nieto, David",1989-05-22,Spain,1989,5,22,2
956,956,"Larsen, Bent",1935-03-04,Denmark,1935,3,4,1
957,957,"Lastin, Alexander",1976-10-30,Russia,1976,10,30,4
958,958,"Lau, Ralf",1959-10-19,West Germany,1959,10,19,4
959,959,"Lautier, JoÃ«l",1973-04-12,France,1973,4,12,2
960,960,"Laxman, R. R.",1983-02-05,India,1983,2,5,1
961,961,"Laylo, Darwin",1980-06-01,Philippines,1980,6,1,2
962,962,"Lazarev, Vladimir",1964-06-05,Russia,1964,6,5,2
963,963,"LaziÄ, Miroljub",1966-06-28,Yugoslavia (S&M),1966,6,28,2
964,964,"Laznicka, Viktor",1988-01-09,CzechoÂ­slovakia,1988,1,9,1
965,965,LÃª Quang LiÃªm,1991-03-13,Vietnam,1991,3,13,1
966,966,"Le Roux, Jean-Pierre",1982-05-18,France,1982,5,18,2
967,967,"LechtÃ½nskÃ½, JiÅÃ­",1947-11-25,Czech Republic,1947,11,25,4
968,968,"Legky, Nikolay A.",1955-04-11,Ukraine,1955,4,11,2
969,969,"Lehmann, Heinz",1921-10-20,West Germany,1921,10,20,4
970,970,Lei Tingjie,1997-03-03,China,1997,3,3,1
971,971,"Lein, Anatoly",1931-03-28,Soviet Union,1931,3,28,1
972,972,"LeitÃ£o, Rafael",1979-12-28,Brazil,1979,12,28,4
973,973,"Leko, Peter",1979-09-08,Hungary,1979,9,8,3
974,974,"Lemos, DamiÃ¡n",1990-04-02,Argentina,1990,4,2,2
976,976,"Lengyel, Levente",1933-06-13,Hungary,1933,6,13,2
977,977,"LeniÄ, Luka",1988-05-13,Slovenia,1988,5,13,2
978,978,"LeÃ³n Hoyos, Manuel",1989-02-10,Mexico,1989,2,10,1
979,979,"Lerner, Konstantin",1950-02-28,Soviet Union,1950,2,28,1
980,980,"LesiÃ¨ge, Alexandre",1975-08-18,Canada,1975,8,18,3
981,981,"Leniart, Arkadiusz",1991-06-20,Poland,1991,6,20,2
982,982,"Lev, Ronen",1968-09-22,Israel,1968,9,22,3
983,983,"Levenfish, Grigory",1889-03-21,Soviet Union,1889,3,21,1
984,984,"LeventiÄ, Ivan",1970-09-21,Croatia,1970,9,21,3
985,985,"Levin, Evgeny A.",1990-06-26,Russia,1990,6,26,2
986,986,"Levin, Felix",1958-11-05,Germany,1958,11,5,4
988,988,Li Chao,1989-04-21,China,1989,4,21,2
989,989,Li Di,1999-12-15,China,1999,12,15,4
991,991,Li Shilong,1977-08-10,China,1977,8,10,3
993,993,Liang Chong,1980-01-29,China,1980,1,29,1
994,994,Liang Jinrong,1960-05-21,China,1960,5,21,2
995,995,"Liberzon, Vladimir",1937-03-23,Soviet Union,1937,3,23,1
996,996,"Libiszewski, Fabien",1984-01-05,France,1984,1,5,1
997,997,"Lie, Kjetil A.",1980-11-18,Norway,1980,11,18,4
998,998,"LikavskÃ½, TomÃ¡Å¡",1971-07-28,Slovakia,1971,7,28,3
999,999,"Lilienthal, Andor",1911-05-05,Soviet Union,1911,5,5,2
1000,1000,"Lima, Darcy",1962-05-22,Brazil,1962,5,22,2
1001,1001,Lin Chen,1988-09-14,China,1988,9,14,3
1002,1002,"Lintchevski, Daniil",1990-05-17,Russia,1990,5,17,2
1003,1003,"Liss, Eran",1975-07-02,Israel,1975,7,2,3
1004,1004,Liu Qingnan,1992-05-23,China,1992,5,23,2
1005,1005,Liu Yan,2000-03-29,China,2000,3,29,1
1006,1006,"LjubojeviÄ, Ljubomir",1950-11-02,Yugoslavia,1950,11,2,4
1007,1007,"Llanes Hurtado, Miguel",1978-10-05,Spain,1978,10,5,4
1008,1008,"Lobron, Eric",1960-05-07,Germany,1960,5,7,2
1009,1009,"Loginov, Valery A",1955-12-13,Russia,1955,12,13,4
1011,1011,"Lomsadze, Davit",1991-02-12,Georgia,1991,2,12,1
1012,1012,"LÃ³pez MartÃ­nez, Josep Manuel",1980-04-24,Spain,1980,4,24,2
1013,1013,"Lopushnoy, Denis",1977-01-30,Russia,1977,1,30,1
1014,1014,"Lorenzini, Martin",1975-09-26,Argentina,1975,9,26,3
1015,1015,"LorpariÂ­zangeneh, Shahin",1999-01-16,Iran,1999,1,16,1
1016,1016,"Lputian, Smbat G.",1958-02-14,Soviet Union,1958,2,14,1
1017,1017,Lu Shanglei,1995-07-10,China,1995,7,10,3
1018,1018,"Lugovoi, Aleksei",1975-03-05,Russia,1975,3,5,1
1019,1019,"Lugovskoy, Maxim",1996-08-14,Russia,1996,8,14,3
1020,1020,"LukÃ¡cs, PÃ©ter",1950-07-09,Hungary,1950,7,9,3
1021,1021,"Lukov, Valentin",1955-12-11,Bulgaria,1955,12,11,4
1022,1022,"Lundin, Erik",1904-07-02,Sweden,1904,7,2,3
1023,1023,"Lunev, Andrey",1969-01-21,Russia,1969,1,21,1
1024,1024,"Lupu, Mircea-Sergiu",1962-08-28,Romania,1962,8,28,3
1025,1025,"Lupulescu, Constantin",1984-03-25,Romania,1984,3,25,1
1026,1026,"Luther, Thomas",1969-11-04,Germany,1969,11,4,4
1027,1027,"Lutikov, Anatoly",1933-02-05,Soviet Union,1933,2,5,1
1028,1028,"Lutsko, Igor",1962-04-06,Belarus,1962,4,6,2
1029,1029,"Lutz, Christopher",1971-02-24,Germany,1971,2,24,1
1030,1030,"Ly, Moulthun",1991-11-20,Australia,1991,11,20,4
1031,1031,"Lysyj, Igor",1987-01-01,Russia,1987,1,1,1
1032,1032,Ma Qun,1991-11-09,China,1991,11,9,4
1033,1033,"Machulsky, Anatoly",1956-09-24,Russia,1956,9,24,3
1034,1034,"Macieja, BartÅomiej",1977-10-04,Poland,1977,10,4,4
1035,1035,"Magem Badals, Jordi",1967-08-24,Spain,1967,8,24,3
1036,1036,"Magerramov, Elmar",1958-04-10,Azerbaijan,1958,4,10,2
1037,1037,"Maghalashvili, Davit",1987-06-27,Georgia,1987,6,27,2
1038,1038,"Maghsoodloo, Parham",2000-08-11,Iran,2000,8,11,3
1039,1039,"Magomedov, Magaram",1966-05-20,Tajikistan,1966,5,20,2
1040,1040,"Mahjoob Zardast, Morteza",1980-03-20,Iran,1980,3,20,1
1041,1041,"Mainka, Romuald",1963-05-15,Germany,1963,5,15,2
1042,1042,"Maiorov, Nikita",1985-04-19,Belarus,1985,4,19,2
1043,1043,"Maiorov, Oleg",1971-07-21,Russia,1971,7,21,3
1044,1044,"Maiwald, Jens-Uwe",1974-05-06,Germany,1974,5,6,2
1045,1045,"Makarichev, Sergey",1953-11-17,Soviet Union,1953,11,17,4
1046,1046,"Makhnev, Denis",2000-02-20,Kazakhstan,2000,2,20,1
1047,1047,"Makarov, Marat",1963-05-07,Russia,1963,5,7,2
1048,1048,"Makogonov, Vladimir",1904-08-27,Soviet Union,1904,8,27,3
1049,1049,"Maksimenko, Andrei",1969-12-07,Ukraine,1969,12,7,4
1050,1050,"Malakhatko, Vadim",1977-03-22,Ukraine,1977,3,22,1
1051,1051,"Malakhov, Vladimir",1980-11-27,Russia,1980,11,27,4
1052,1052,"Malaniuk, Vladimir",1957-07-21,Soviet Union,1957,7,21,3
1053,1053,"Maletin, Pavel",1986-11-06,Russia,1986,11,6,4
1054,1054,"Malich, Burkhard",1936-11-29,East Germany,1936,11,29,4
1055,1055,"Malinin, Vasily B.",1956-04-26,Russia,1956,4,26,2
1056,1056,"MaliÅ¡auskas, Vidmantas",1963-08-04,Lithuania,1963,8,4,3
1057,1057,"Mamedov, Nidjat",1985-04-02,Azerbaijan,1985,4,2,2
1058,1058,"Mamedov, Rauf",1988-04-26,Azerbaijan,1988,4,26,2
1059,1059,"Mamedyarov, Shakhriyar",1985-04-12,Azerbaijan,1985,4,12,2
1060,1060,"Mammadov, Zaur",1994-04-16,Azerbaijan,1994,4,16,2
1061,1061,"ManÃ­k, MikulÃ¡Å¡",1975-05-26,Slovakia,1975,5,26,2
1062,1062,"Manolache, Marius",1973-04-22,Romania,1973,4,22,2
1063,1063,"Manor, Ilan",1969-10-26,Israel,1969,10,26,4
1064,1064,"Marcelin, Cyril",1979-03-16,France,1979,3,16,1
1065,1065,"Marciano, David",1969-07-04,France,1969,7,4,3
1066,1066,"Mareco, Sandro",1987-05-13,Argentina,1987,5,13,2
1067,1067,"Margvelashvili, Giorgi",1990-02-09,Georgia,1990,2,9,1
1068,1068,"Mariano, Nelson",1974-06-28,Philippines,1974,6,28,2
1069,1069,"Marin, Mihail",1965-04-21,Romania,1965,4,21,2
1070,1070,"Mariotti, Sergio",1946-08-10,Italy,1946,8,10,3
1071,1071,"MariÄ, Rudolf",1927-05-13,Yugoslavia,1927,5,13,2
1072,1072,"MarjanoviÄ, Slavoljub",1955-01-06,Yugoslavia,1955,1,6,1
1073,1073,"MarkoÅ¡, JÃ¡n",1985-07-02,Slovakia,1985,7,2,3
1074,1074,"Markosian, David S.",1972-01-24,Armenia,1972,1,24,1
1075,1075,"MarkoviÄ, Miroslav",1973-05-08,Yugoslavia (S&M),1973,5,8,2
1076,1076,"Markowski, Tomasz",1975-07-30,Poland,1975,7,30,3
1077,1077,"MarkuÅ¡, Robert",1983-10-07,Serbia and Montenegro,1983,10,7,4
1078,1078,"MarÃ³czy, GÃ©za",1870-03-03,Hungary,1870,3,3,1
1079,1079,"MaroviÄ, DraÅ¾en",1938-01-14,Yugoslavia,1938,1,14,1
1080,1080,"Martinez Alcantara, Jose Eduardo",1999-01-31,Peru,1999,1,31,1
1081,1081,"Martinez Duany, Lelys Stanley",1985-07-10,Cuba,1985,7,10,3
1082,1082,"MartinoviÄ, SaÅ¡a",1991-07-15,Croatia,1991,7,15,3
1083,1083,"MartinoviÄ, Slobodan",1945-07-25,Yugoslavia,1945,7,25,3
1084,1084,"Martirosyan, Haik M.",2000-07-14,Armenia,2000,7,14,3
1085,1085,"Maslak, Konstantin",1984-08-27,Russia,1984,8,27,3
1086,1086,"Mastrovasilis, Athanasios",1979-04-18,Greece,1979,4,18,2
1087,1087,"Mastrovasilis, Dimitrios",1983-06-12,Greece,1983,6,12,2
1088,1088,"Matamoros Franco, Carlos S.",1966-12-17,Ecuador,1966,12,17,4
1089,1089,"MatanoviÄ, Aleksandar",1930-05-23,Yugoslavia,1930,5,23,2
1090,1090,"Mateo, Ramon",1958-06-23,Dominican Republic,1958,6,23,2
1091,1091,"Matinian, Nikita",1992-04-21,Russia,1992,4,21,2
1092,1092,"Matjushin, Gennady",1984-08-23,Ukraine,1984,8,23,3
1093,1093,"Matlakov, Maxim",1991-03-05,Russia,1991,3,5,1
1094,1094,"Matsenko, Sergei",1990-06-21,Russia,1990,6,21,2
1095,1095,"Matsuura, Everaldo",1970-10-01,Brazil,1970,10,1,4
1096,1096,"MatuloviÄ, Milan",1935-06-10,Yugoslavia,1935,6,10,2
1097,1097,"Matuszewski, MichaÅ",1993-01-06,Poland,1993,1,6,1
1098,1098,"Maurizzi, Marc Andria",2007-05-16,France,2007,5,16,2
1099,1099,"Maximov, Dmitry",1984-07-20,Ukraine,1984,7,20,3
1100,1100,"MazÃ©, SÃ©bastien",1984-02-08,France,1984,2,8,1
1102,1102,"McNab, Colin A.",1961-02-03,Scotland,1961,2,3,1
1104,1104,"Mchedlishvili, Mikheil",1979-06-04,Georgia,1979,6,4,2
1105,1105,"Mecking, Henrique",1952-01-23,Brazil,1952,1,23,1
1107,1107,"Meduna, Eduard",1950-09-11,CzechoÂ­slovakia,1950,9,11,3
1108,1108,"Medvegy, ZoltÃ¡n",1979-03-21,Hungary,1979,3,21,1
1109,1109,"Megaranto, Susanto",1987-10-08,Indonesia,1987,10,8,4
1110,1110,"Meier, Georg",1987-08-26,Germany,1987,8,26,3
1111,1111,"Meijers, Viesturs",1967-12-05,Latvia,1967,12,5,4
1112,1112,"Meister, Jakob",1955-09-11,Germany,1955,9,11,3
1113,1113,"Mekhitarian, Krikor Sevag",1986-11-15,Brazil,1986,11,15,4
1114,1114,"Melkumyan, Hrant",1989-04-30,Armenia,1989,4,30,2
1115,1115,"Mendonca, Leon Luke",2006-03-13,India,2006,3,13,1
1116,1116,"Meshkovs, Nikita",1994-06-30,Latvia,1994,6,30,2
1118,1118,"Mhamal, Anurag",1995-04-28,India,1995,4,28,2
1119,1119,"Michalik, Peter",1990-09-15,Slovakia,1990,9,15,3
1120,1120,"Michiels, Bart",1986-10-30,Belgium,1986,10,30,4
1122,1122,"Miezis, Normunds",1971-05-11,Latvia,1971,5,11,2
1123,1123,"MihÃ³k, OlivÃ©r",1993-06-23,Hungary,1993,6,23,2
1124,1124,"Mikaelyan, Arman",1996-11-25,Armenia,1996,11,25,4
1125,1125,"MikÄnas, Vladas",1910-04-17,Lithuania,1910,4,17,2
1126,1126,"Mikhalchishin, Adrian",1954-11-18,Soviet Union,1954,11,18,4
1127,1127,"Mikhaletz, Lubomir",1974-08-15,Ukraine,1974,8,15,3
1128,1128,"Mikhalevski, Victor",1972-07-08,Israel,1972,7,8,3
1129,1129,"MiladinoviÄ, Igor",1974-01-25,Yugoslavia (S&M),1974,1,25,1
1130,1130,"MilanoviÄ, Danilo",1974-01-18,Serbia,1974,1,18,1
1132,1132,"MiliÄ, Borislav",1925-10-20,Yugoslavia,1925,10,20,4
1133,1133,"MiljkoviÄ, Miroslav D.",1985-05-06,Serbia,1985,5,6,2
1134,1134,"Milos, Gilberto",1963-10-30,Brazil,1963,10,30,4
1135,1135,"Milov, Leonid",1966-02-06,Germany,1966,2,6,1
1136,1136,"Milov, Vadim",1972-08-01,Switzerland,1972,8,1,3
1137,1137,"Minasian, Ara",1974-04-14,Armenia,1974,4,14,2
1138,1138,"Minasian, Artashes",1967-01-21,Armenia,1967,1,21,1
1139,1139,"MiniÄ, Dragoljub",1937-03-05,Yugoslavia,1937,3,5,1
1140,1140,"MirallÃ¨s, Gilles",1966-02-08,France,1966,2,8,1
1141,1141,"Miranda Mesa, Elier",1993-01-29,Cuba,1993,1,29,1
1142,1142,"Miron, Lucian-Costin",1987-09-14,Romania,1987,9,14,3
1143,1143,"MiroshniÂ­chenko, Evgenij",1978-12-28,Ukraine,1978,12,28,4
1145,1145,"Mirumian, Vigen",1977-09-29,Czech Republic,1977,9,29,3
1146,1146,"Mirzoev, Azer",1978-03-28,Azerbaijan,1978,3,28,1
1147,1147,"Mirzoev, Emil",1996,Ukraine,1996,1,1,1
1148,1148,"Mitkov, Nikola",1971-12-18,North Macedonia,1971,12,18,4
1149,1149,"MitoÅ, Kamil",1984-04-12,Poland,1984,4,12,2
1150,1150,"MiÅta, Aleksander",1983-01-07,Poland,1983,1,7,1
1151,1151,"Mogranzini, Roberto",1983-01-06,Italy,1983,1,6,1
1152,1152,"Mohr, Georg",1965-02-02,Slovenia,1965,2,2,1
